"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"R5 Extra Large","r5.xlarge","32.0 GiB","19 units","4 vCPUs","0","0","4.75 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","60","4","No","Yes","Yes","No","HVM","Yes","$0.304000 hourly","$0.159 hourly","$0.312 hourly","$0.219 hourly","$0.377 hourly","$0.209 hourly","$0.436 hourly","$0.343 hourly","$0.504 hourly","$0.41 hourly","$0.916 hourly","$0.823 hourly","$1.936 hourly","$1.843 hourly","$0.32 hourly","$0.226 hourly","$0.732 hourly","$0.639 hourly","$1.752 hourly","$1.659 hourly","0","$0.063 hourly"
"C5 High-CPU Extra Large","c5.xlarge","8.0 GiB","17 units","4 vCPUs","0","0","4.25 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.196000 hourly","$0.107 hourly","$0.23 hourly","$0.167 hourly","$0.27 hourly","$0.14 hourly","$0.354 hourly","$0.291 hourly","$0.422 hourly","$0.359 hourly","$0.834 hourly","$0.771 hourly","$1.854 hourly","$1.791 hourly","$0.238 hourly","$0.175 hourly","$0.65 hourly","$0.587 hourly","$1.67 hourly","$1.607 hourly","$0.00 hourly","$0.043 hourly"
"C5 High-CPU Extra Large","c5d.xlarge","8.0 GiB","17 units","4 vCPUs","0","0","4.25 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","100 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.224000 hourly","$0.121 hourly","$0.252 hourly","$0.181 hourly","$0.292 hourly","$0.154 hourly","$0.376 hourly","$0.305 hourly","$0.444 hourly","$0.373 hourly","$0.856 hourly","$0.785 hourly","$1.876 hourly","$1.805 hourly","$0.26 hourly","$0.189 hourly","$0.672 hourly","$0.601 hourly","$1.692 hourly","$1.621 hourly","0","$0.048 hourly"
"C4 High-CPU Extra Large","c4.xlarge","7.5 GiB","16 units","4 vCPUs","0","0","4 units","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","750.0 Mbps","93.75 MB/s","6000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.231000 hourly","$0.126 hourly","$0.259 hourly","$0.186 hourly","$0.299 hourly","$0.159 hourly","$0.383 hourly","$0.31 hourly","$0.624 hourly","$0.381 hourly","$1.51 hourly","$1.27 hourly","$1.883 hourly","$1.81 hourly","$0.268 hourly","$0.194 hourly","$0.68 hourly","$0.606 hourly","$1.7 hourly","$1.626 hourly","$0.00 hourly","$0.052 hourly"
"M5 General Purpose Extra Large","m5.xlarge","16.0 GiB","16 units","4 vCPUs","0","0","4 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.240000 hourly","$0.123 hourly","$0.252 hourly","$0.183 hourly","$0.292 hourly","$0.156 hourly","$0.376 hourly","$0.307 hourly","$0.444 hourly","$0.374 hourly","$0.856 hourly","$0.787 hourly","$1.876 hourly","$1.807 hourly","$0.26 hourly","$0.19 hourly","$0.672 hourly","$0.603 hourly","$1.692 hourly","$1.623 hourly","0","$0.048 hourly"
"M5 General Purpose Extra Large","m5d.xlarge","16.0 GiB","16 units","4 vCPUs","0","0","4 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","150 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.282000 hourly","$0.144 hourly","$0.286 hourly","$0.204 hourly","$0.326 hourly","$0.177 hourly","$0.41 hourly","$0.328 hourly","$0.478 hourly","$0.396 hourly","$0.89 hourly","$0.808 hourly","$1.91 hourly","$1.828 hourly","$0.294 hourly","$0.212 hourly","$0.706 hourly","$0.624 hourly","$1.726 hourly","$1.644 hourly","0","$0.057 hourly"
"I2 Extra Large","i2.xlarge","30.5 GiB","14 units","4 vCPUs","0","0","3.5 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","800 GiB               SSD","Yes","Yes","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$1.018000 hourly","$0.424 hourly","$0.913 hourly","$0.484 hourly","$0.953 hourly","$0.46 hourly","$0.973 hourly","$0.565 hourly","$0.993 hourly","$0.578 hourly","$1.23 hourly","$0.768 hourly","$2.537 hourly","$2.108 hourly","$0.921 hourly","$0.449 hourly","$1.333 hourly","$0.861 hourly","$2.353 hourly","$1.881 hourly","unavailable","$0.213 hourly"
"D2 Extra Large","d2.xlarge","30.5 GiB","14 units","4 vCPUs","0","0","3.5 units","Intel Xeon E5-2676v3 (Haswell)","2.4 GHz","Yes","Yes","Yes","6000 GiB               (3 * 2000 GiB HDD)","Yes","N/A","64-bit","Moderate","750.0 Mbps","93.75 MB/s","6000.0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$0.870000 hourly","$0.402 hourly","$0.75 hourly","$0.462 hourly","$0.79 hourly","$0.439 hourly","$0.821 hourly","$0.472 hourly","unavailable","unavailable","unavailable","unavailable","$2.374 hourly","$2.086 hourly","unavailable","unavailable","unavailable","unavailable","$2.19 hourly","$1.862 hourly","$0.00 hourly","$0.173 hourly"
"C3 High-CPU Extra Large","c3.xlarge","7.5 GiB","14 units","4 vCPUs","0","0","3.5 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","Yes","80 GiB               (2 * 40 GiB SSD)","No","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM, PV","Yes","$0.265000 hourly","$0.146 hourly","$0.27 hourly","$0.206 hourly","$0.31 hourly","$0.182 hourly","$0.376 hourly","$0.329 hourly","$0.542 hourly","$0.386 hourly","$1.066 hourly","$0.771 hourly","$1.894 hourly","$1.833 hourly","$0.278 hourly","$0.2 hourly","$0.69 hourly","$0.613 hourly","$1.71 hourly","$1.633 hourly","unavailable","$0.053 hourly"
"R4 High-Memory Extra Large","r4.xlarge","30.5 GiB","13.5 units","4 vCPUs","0","0","3.375 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","850.0 Mbps","106.25 MB/s","6000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.320000 hourly","$0.168 hourly","$0.396 hourly","$0.228 hourly","$0.366 hourly","$0.201 hourly","$0.45 hourly","$0.352 hourly","$0.521 hourly","$0.423 hourly","$0.93 hourly","$0.832 hourly","$1.95 hourly","$1.852 hourly","$0.3336 hourly","$0.2356 hourly","$0.746 hourly","$0.648 hourly","$1.766 hourly","$1.668 hourly","0","$0.067 hourly"
"R3 High-Memory Extra Large","r3.xlarge","30.5 GiB","13 units","4 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","80 GiB               SSD","Yes","Yes","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$0.399000 hourly","$0.209 hourly","$0.393 hourly","$0.269 hourly","$0.433 hourly","$0.242 hourly","$0.583 hourly","$0.428 hourly","$0.738 hourly","$0.519 hourly","$1.378 hourly","$1.213 hourly","$2.017 hourly","$1.895 hourly","$0.4 hourly","$0.256 hourly","$0.812 hourly","$0.668 hourly","$1.832 hourly","$1.688 hourly","unavailable","$0.090 hourly"
"M3 General Purpose Extra Large","m3.xlarge","15.0 GiB","13 units","4 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","Yes","unknown","Yes","80 GiB               (2 * 40 GiB SSD)","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","No","No","No","No","HVM, PV","Yes","$0.392000 hourly","$0.19 hourly","$0.326 hourly","$0.25 hourly","$0.366 hourly","$0.223 hourly","$0.518 hourly","$0.397 hourly","$0.734 hourly","$0.479 hourly","$1.266 hourly","$0.882 hourly","$1.95 hourly","$1.878 hourly","$0.336 hourly","$0.24 hourly","$0.748 hourly","$0.653 hourly","$1.768 hourly","$1.673 hourly","unavailable","$0.070 hourly"
"M4 General Purpose Extra Large","m4.xlarge","16.0 GiB","13 units","4 vCPUs","0","0","3.25 units","Intel Xeon E5-2676 v3 (Haswell)","2.4  GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","750.0 Mbps","93.75 MB/s","6000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.250000 hourly","$0.1239 hourly","$0.26 hourly","$0.1839 hourly","$0.3 hourly","$0.1569 hourly","$0.384 hourly","$0.3079 hourly","$0.439 hourly","$0.346 hourly","$0.864 hourly","$0.7879 hourly","$1.884 hourly","$1.8079 hourly","$0.2676 hourly","$0.1915 hourly","$0.68 hourly","$0.6039 hourly","$1.7 hourly","$1.6239 hourly","$0.00 hourly","$0.060 hourly"
"G3S Extra Large","g3s.xlarge","30.5 GiB","13 units","4 vCPUs","1","0","3.25 units","Intel Xeon E5-2686 v4 (Broadwell)","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","850.0 Mbps","100.0 MB/s","5000.0 IOPS","No","60","4","No","Yes","Yes","No","Unknown","Yes","unavailable","$0.551 hourly","$0.81 hourly","$0.611 hourly","$0.875 hourly","$0.601 hourly","$0.934 hourly","$0.735 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.188 hourly"
"I3 High I/O Extra Large","i3.xlarge","30.5 GiB","13 units","4 vCPUs","0","0","3.25 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","950 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","850.0 Mbps","106.25 MB/s","6000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.374000 hourly","$0.214 hourly","$0.372 hourly","$0.274 hourly","$0.412 hourly","$0.247 hourly","$0.496 hourly","$0.398 hourly","$0.567 hourly","$0.469 hourly","$0.976 hourly","$0.878 hourly","$1.996 hourly","$1.898 hourly","$0.38 hourly","$0.282 hourly","$0.792 hourly","$0.694 hourly","$1.812 hourly","$1.714 hourly","0","$0.078 hourly"
"M2 High Memory Double Extra Large","m2.2xlarge","34.2 GiB","13 units","4 vCPUs","0","0","3.25 units","Intel Xeon Family","unknown","unknown","unknown","unknown","850 GiB               HDD","No","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","120","4","No","No","No","No","PV","Yes","$0.592000 hourly","$0.222 hourly","$0.55 hourly","$0.282 hourly","$0.59 hourly","$0.258 hourly","$0.69 hourly","$0.496 hourly","$0.85 hourly","$0.622 hourly","$1.489 hourly","$0.944 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.123 hourly"
"X1E Extra Large","x1e.xlarge","122.0 GiB","12 units","4 vCPUs","0","0","3 units","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","Yes","Yes","unknown","120 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","500.0 Mbps","62.5 MB/s","3700.0 IOPS","No","30","3","Yes","Yes","Yes","No","HVM","No","unavailable","$0.514 hourly","$0.894 hourly","$0.574 hourly","$0.934 hourly","$0.547 hourly","$1.018 hourly","$0.698 hourly","$1.086 hourly","$0.766 hourly","$1.498 hourly","$1.178 hourly","$2.518 hourly","$2.198 hourly","$0.902 hourly","$0.582 hourly","$1.314 hourly","$0.994 hourly","$2.334 hourly","$2.014 hourly","0","unavailable"
"General Purpose GPU Extra Large","p2.xlarge","61.0 GiB","12 units","4 vCPUs","1","0","3 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","750.0 Mbps","93.75 MB/s","6000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$1.718000 hourly","$0.614 hourly","$0.96 hourly","$0.674 hourly","$1 hourly","$0.647 hourly","$1.084 hourly","$0.798 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.225 hourly"
"M1 General Purpose Extra Large","m1.xlarge","15.0 GiB","8 units","4 vCPUs","0","0","2 units","Intel Xeon Family","unknown","unknown","unknown","unknown","1680 GiB               (4 * 420 GiB HDD)","No","N/A","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","No","No","No","No","PV","Yes","$0.467000 hourly","$0.224 hourly","$0.41 hourly","$0.284 hourly","$0.45 hourly","$0.26 hourly","$0.598 hourly","$0.465 hourly","$0.83 hourly","$0.543 hourly","$1.362 hourly","$0.906 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.088 hourly"
"T3 Extra Large","t3.xlarge","16.0 GiB","Base performance:                 160%","4 vCPUs                                                   for a                 9h 36m                 burst","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Moderate","2048.0 Mbps","256.0 MB/s","15700.0 IOPS","No","60","4","No","Yes","Yes","No","Unknown","No","$0.211200 hourly","$0.1043 hourly","$0.2264 hourly","$0.1643 hourly","$0.2914 hourly","$0.1543 hourly","$0.24 hourly","$0.1779 hourly","$0.3076 hourly","$0.2455 hourly","$0.72 hourly","$0.6579 hourly","$1.74 hourly","$1.6779 hourly","$0.234 hourly","$0.1719 hourly","$0.6464 hourly","$0.5843 hourly","$1.6664 hourly","$1.6043 hourly","0","unavailable"
"T2 Extra Large","t2.xlarge","16.0 GiB","Base performance:                 90%","4 vCPUs                                                   for a                 5h 24m                 burst","0","0","Burstable","Intel Xeon Family","Up to 3.0 GHz","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","45","3","No","Yes","Yes","No","HVM","No","$0.233600 hourly","$0.115 hourly","$0.2456 hourly","$0.175 hourly","$0.2856 hourly","$0.148 hourly","$0.2266 hourly","$0.156 hourly","$0.298 hourly","$0.2274 hourly","unavailable","unavailable","$1.7266 hourly","$1.656 hourly","$0.2532 hourly","$0.1826 hourly","unavailable","unavailable","$1.6856 hourly","$1.615 hourly","unavailable","unavailable"
"M5AD Extra Large","m5ad.xlarge","16.0 GiB","0 units","4 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","150 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","No","60","4","Yes","Yes","Yes","No","Unknown","No","$0.258000 hourly","$0.132 hourly","$0.266 hourly","$0.192 hourly","$0.331 hourly","$0.182 hourly","$0.39 hourly","$0.316 hourly","$0.458 hourly","$0.383 hourly","$0.87 hourly","$0.796 hourly","$1.89 hourly","$1.816 hourly","$0.274 hourly","$0.199 hourly","$0.686 hourly","$0.612 hourly","$1.706 hourly","$1.632 hourly","0","unavailable"
"M5A Extra Large","m5a.xlarge","16.0 GiB","0 units","4 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","No","60","4","Yes","Yes","Yes","No","Unknown","Yes","$0.216000 hourly","$0.109 hourly","$0.232 hourly","$0.169 hourly","$0.297 hourly","$0.159 hourly","$0.356 hourly","$0.293 hourly","$0.424 hourly","$0.361 hourly","$0.836 hourly","$0.773 hourly","$1.856 hourly","$1.793 hourly","$0.24 hourly","$0.177 hourly","$0.652 hourly","$0.589 hourly","$1.672 hourly","$1.609 hourly","0","$0.043 hourly"
"R5AD Extra Large","r5ad.xlarge","32.0 GiB","0 units","4 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","150 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","2210.0 Mbps","265.0 MB/s","16000.0 IOPS","No","60","4","Yes","Yes","Yes","No","Unknown","No","$0.318000 hourly","$0.166 hourly","$0.322 hourly","$0.226 hourly","$0.387 hourly","$0.216 hourly","$0.446 hourly","$0.35 hourly","$0.514 hourly","$0.417 hourly","$0.926 hourly","$0.83 hourly","$1.946 hourly","$1.85 hourly","$0.33 hourly","$0.233 hourly","$0.742 hourly","$0.646 hourly","$1.762 hourly","$1.666 hourly","0","unavailable"
"R5A Extra Large","r5a.xlarge","32.0 GiB","0 units","4 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","2210.0 Mbps","265.0 MB/s","16000.0 IOPS","No","60","4","Yes","Yes","Yes","No","Unknown","Yes","$0.272000 hourly","$0.143 hourly","$0.286 hourly","$0.203 hourly","$0.351 hourly","$0.193 hourly","$0.41 hourly","$0.327 hourly","$0.478 hourly","$0.394 hourly","$0.89 hourly","$0.807 hourly","$1.91 hourly","$1.827 hourly","$0.294 hourly","$0.21 hourly","$0.706 hourly","$0.623 hourly","$1.726 hourly","$1.643 hourly","0","$0.057 hourly"
"A1 Extra Large","a1.xlarge","8.0 GiB","0 units","4 vCPUs","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","60","4","Yes","Yes","Yes","No","Unknown","No","unavailable","$0.0643 hourly","$0.162 hourly","$0.1243 hourly","$0.227 hourly","$0.1143 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C5N Extra Large","c5n.xlarge","10.5 GiB","0 units","4 vCPUs","0","0","0 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","60","4","Yes","Yes","Yes","No","Unknown","Yes","unavailable","$0.136 hourly","$0.276 hourly","$0.196 hourly","$0.341 hourly","$0.186 hourly","$0.4 hourly","$0.32 hourly","$0.468 hourly","$0.388 hourly","$0.88 hourly","$0.8 hourly","$1.9 hourly","$1.82 hourly","$0.284 hourly","$0.204 hourly","$0.696 hourly","$0.616 hourly","$1.716 hourly","$1.636 hourly","0","$0.054 hourly"
"Z1D Double Extra Large","z1d.2xlarge","64.0 GiB","53 units","8 vCPUs","0","0","6.625 units","Intel Xeon Platinum 8151","unknown","unknown","unknown","unknown","300 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","2333.0 Mbps","292.0 MB/s","13333.0 IOPS","No","60","4","No","Yes","Yes","No","HVM","Yes","$0.904000 hourly","$0.47 hourly","$0.874 hourly","$0.6 hourly","$0.894 hourly","$0.53 hourly","$1.112 hourly","$0.838 hourly","$1.247 hourly","$0.973 hourly","$2.072 hourly","$1.798 hourly","$4.112 hourly","$3.838 hourly","$0.879 hourly","$0.605 hourly","$1.704 hourly","$1.43 hourly","$3.744 hourly","$3.47 hourly","0","$0.186 hourly"
"R5 Double Extra Large","r5.2xlarge","64.0 GiB","38 units","8 vCPUs","0","0","4.75 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","60","4","No","Yes","Yes","No","HVM","Yes","$0.608000 hourly","$0.318 hourly","$0.634 hourly","$0.448 hourly","$0.654 hourly","$0.378 hourly","$0.872 hourly","$0.686 hourly","$1.007 hourly","$0.821 hourly","$1.832 hourly","$1.646 hourly","$3.872 hourly","$3.686 hourly","$0.639 hourly","$0.453 hourly","$1.464 hourly","$1.278 hourly","$3.504 hourly","$3.318 hourly","0","$0.126 hourly"
"R5D Double Extra Large","r5d.2xlarge","64.0 GiB","38 units","8 vCPUs","0","0","4.75 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","300 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","60","4","No","Yes","Yes","No","HVM","Yes","$0.696000 hourly","$0.364 hourly","$0.706 hourly","$0.494 hourly","$0.726 hourly","$0.424 hourly","$0.944 hourly","$0.732 hourly","$1.079 hourly","$0.867 hourly","$1.904 hourly","$1.692 hourly","$3.944 hourly","$3.732 hourly","$0.711 hourly","$0.499 hourly","$1.536 hourly","$1.324 hourly","$3.576 hourly","$3.364 hourly","0","$0.144 hourly"
"C5 High-CPU Double Extra Large","c5d.2xlarge","16.0 GiB","34 units","8 vCPUs","0","0","4.25 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","200 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.448000 hourly","$0.242 hourly","$0.514 hourly","$0.372 hourly","$0.484 hourly","$0.275 hourly","$0.752 hourly","$0.61 hourly","$0.887 hourly","$0.745 hourly","$1.712 hourly","$1.57 hourly","$3.752 hourly","$3.61 hourly","$0.519 hourly","$0.377 hourly","$1.344 hourly","$1.202 hourly","$3.384 hourly","$3.242 hourly","0","$0.096 hourly"
"C5 High-CPU Double Extra Large","c5.2xlarge","16.0 GiB","34 units","8 vCPUs","0","0","4.25 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.392000 hourly","$0.214 hourly","$0.47 hourly","$0.344 hourly","$0.44 hourly","$0.247 hourly","$0.708 hourly","$0.582 hourly","$0.843 hourly","$0.717 hourly","$1.668 hourly","$1.542 hourly","$3.708 hourly","$3.582 hourly","$0.475 hourly","$0.349 hourly","$1.3 hourly","$1.174 hourly","$3.34 hourly","$3.214 hourly","$0.00 hourly","$0.085 hourly"
"C4 High-CPU Double Extra Large","c4.2xlarge","15.0 GiB","31 units","8 vCPUs","0","0","3.875 units","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.462000 hourly","$0.252 hourly","$0.528 hourly","$0.382 hourly","$0.498 hourly","$0.285 hourly","$0.766 hourly","$0.62 hourly","$1.296 hourly","$0.761 hourly","$3.019 hourly","$2.525 hourly","$3.766 hourly","$3.62 hourly","$0.535 hourly","$0.387 hourly","$1.36 hourly","$1.212 hourly","$3.4 hourly","$3.252 hourly","$0.00 hourly","$0.105 hourly"
"M5 General Purpose Double Extra Large","m5.2xlarge","32.0 GiB","31 units","8 vCPUs","0","0","3.875 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.480000 hourly","$0.245 hourly","$0.514 hourly","$0.375 hourly","$0.484 hourly","$0.278 hourly","$0.752 hourly","$0.613 hourly","$0.887 hourly","$0.749 hourly","$1.712 hourly","$1.573 hourly","$3.752 hourly","$3.613 hourly","$0.519 hourly","$0.381 hourly","$1.344 hourly","$1.205 hourly","$3.384 hourly","$3.245 hourly","0","$0.096 hourly"
"M5 General Purpose Double Extra Large","m5d.2xlarge","32.0 GiB","31 units","8 vCPUs","0","0","3.875 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","300 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.564000 hourly","$0.288 hourly","$0.582 hourly","$0.418 hourly","$0.552 hourly","$0.321 hourly","$0.82 hourly","$0.656 hourly","$0.955 hourly","$0.791 hourly","$1.78 hourly","$1.616 hourly","$3.82 hourly","$3.656 hourly","$0.587 hourly","$0.423 hourly","$1.412 hourly","$1.248 hourly","$3.452 hourly","$3.288 hourly","0","$0.113 hourly"
"D2 Double Extra Large","d2.2xlarge","61.0 GiB","28 units","8 vCPUs","0","0","3.5 units","Intel Xeon E5-2676v3 (Haswell)","2.4 GHz","Yes","Yes","Yes","12000 GiB               (6 * 2000 GiB HDD)","Yes","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$1.740000 hourly","$0.804 hourly","$1.51 hourly","$0.934 hourly","$1.48 hourly","$0.841 hourly","$1.601 hourly","$0.885 hourly","unavailable","unavailable","unavailable","unavailable","$4.748 hourly","$4.173 hourly","unavailable","unavailable","unavailable","unavailable","$4.38 hourly","$3.725 hourly","$0.00 hourly","$0.270 hourly"
"C3 High-CPU Double Extra Large","c3.2xlarge","15.0 GiB","28 units","8 vCPUs","0","0","3.5 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","Yes","160 GiB               (2 * 80 GiB SSD)","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM, PV","Yes","$0.529000 hourly","$0.292 hourly","$0.55 hourly","$0.422 hourly","$0.52 hourly","$0.328 hourly","$0.752 hourly","$0.657 hourly","$1.083 hourly","$0.771 hourly","$2.131 hourly","$1.542 hourly","$3.788 hourly","$3.664 hourly","$0.555 hourly","$0.401 hourly","$1.38 hourly","$1.225 hourly","$3.42 hourly","$3.265 hourly","unavailable","$0.105 hourly"
